公司名稱,發電廠名稱,所在縣市,機組(座),裝置容量(瓩),商轉年度,類別
創維風力發電股份有限公司,雲林縣麥寮鄉及台西鄉風力發電廠(第D03、C05、C06、E04、E05、E10號機組),雲林縣麥寮鄉及台西鄉,6,"21,600",110,風力發電
創維風力發電股份有限公司,雲林縣麥寮鄉及台西鄉風力發電廠(第K02及K05號機組),雲林縣麥寮鄉及台西鄉,2,"7,200",110,風力發電
苗栗風力股份有限公司,竹南風力發電廠,苗栗縣竹南鎮,4,"7,800",95,風力發電
苗栗風力股份有限公司,後龍大鵬風力發電廠,苗栗縣後龍鎮,21,"42,000",95,風力發電
東鋼風力發電股份有限公司,龍港風力發電廠,苗栗縣後龍鎮,5,"11,500",105,風力發電
台泥綠能股份有限公司,台泥綠能風力發電廠興建計畫,彰化縣線西鄉,2,"7,200",109,風力發電
北苑風力發電股份有限公司,北苑風力發電場,彰化縣芳苑鄉,4,"14,400",110,風力發電
彰苑風力發電股份有限公司,彰苑風力發電場,彰化縣芳苑鄉,4,"14,400",110,風力發電
星寶電力股份有限公司,星寶電力風力發電業(B01、B02、B03),彰化縣芳苑鄉,3,"10,350",110,風力發電
彰旺風力發電股份有限公司,彰旺風力發電廠,彰化縣芳苑鄉,4,"14,400",110,風力發電
海洋風力發電股份有限公司,海洋竹南離岸式風力發電計畫第21號及第28號機組,苗栗縣竹南鎮,2,"8,000",106,風力發電
海洋風力發電股份有限公司,海洋竹南離岸式風力發電計畫第二階段示範風場,苗栗縣竹南鎮,20,"120,000",108,風力發電
彰芳風力發電股份有限公司,彰化彰芳離岸風力發電開發計畫(第一期),彰化縣芳苑鄉,1,"9,600",112,風力發電
