公司名稱,發電廠名稱,所在縣市,機組(座),裝置容量(瓩),商轉年度,類別
富迪能源股份有限公司,高雄市小港春源鋼鐵屋頂型太陽能光電廠,高雄市小港區,,"1,999.80",111,太陽能系統發電
錸洋科技股份有限公司,桃園市平鎮區南平路2段539巷8、10號等屋頂太陽光電發電設備,桃園市平鎮區,,70.395,111,太陽能系統發電
綠岩能源股份有限公司,綠岩電力一號,南投縣名間鄉,,79.53,111,太陽能系統發電
益揚電力股份有限公司,益揚電力永安一號電廠,高雄市永安區,,"1,240.20",111,太陽能系統發電
益揚電力股份有限公司,益揚電力永安二號電廠,高雄市永安區,,"1,546.30",111,太陽能系統發電
益揚電力股份有限公司,益揚電力路竹三號電廠,高雄市路竹區,,"4,990.70",111,太陽能系統發電
辰宇能源股份有限公司,臺中市清水區北堤路1之10號屋頂型太陽光電(風訓中心案場),台中市清水區,,321.16,111,太陽能系統發電
辰宇能源股份有限公司,臺東縣臺東市大豐段542地號設置太陽能發電設備標租案,台東縣台東市,,"5,000.00",111,太陽能系統發電
辰宇能源股份有限公司,臺南中強光電屋頂型太陽能光電廠,台南市善化區,,263.19,111,太陽能系統發電
辰宇能源股份有限公司,雲林廖春風豬舍屋頂型太陽能光電廠,雲林縣二崙鄉,,193.8,112,太陽能系統發電
京承能源股份有限公司,臺中市豐原區豐原大道一段165號(台中八方夜市案場)屋頂型太陽能光電廠,台中市豐原區,,729.12,112,太陽能系統發電
京承能源股份有限公司,臺中市沙鹿區台灣大道七段200號(靜宜大學)屋頂型太陽光電廠,台中市沙鹿區,,881.265,112,太陽能系統發電
京承能源股份有限公司,雲林縣北港鎮金聯北港一期案場,雲林縣北港鎮,,495.6,112,太陽能系統發電
京承能源股份有限公司,雲林縣北港鎮金聯北港二期案場,雲林縣北港鎮,,395.3,112,太陽能系統發電
京承能源股份有限公司,雲林吳棋文豬舍屋頂型太陽能光電廠,雲林縣元長鎮,,146.32,112,太陽能系統發電
京承能源股份有限公司,台南北門漁電共生 (資策會) 太陽能光電廠,台南市北門區,,179.8,112,太陽能系統發電
天篷能源股份有限公司,天篷第一期(第一階段)太陽能電廠,台南市七股區,,"67,852.80",111,太陽能系統發電
天篷能源股份有限公司,天篷第一期(第二階段)太陽能電廠,台南市七股區,,"12,127.20",111,太陽能系統發電
豐照能源股份有限公司,豐照能源和泰汽車一期太陽光電發電廠,桃園市楊梅區,,914.76,111,太陽能系統發電
怡陽能源有限公司,霧峰1號-7.08KW,台中市霧峰區,,7.08,111,太陽能系統發電
雪山太陽能有限公司,雪山太陽光電發電廠,台南市七股區,,"1,462.86",111,太陽能系統發電
凱勤能源股份有限公司,凱勤能源第三期太陽能發電廠,桃園市大園區,,932.4,111,太陽能系統發電
存量能源有限公司,台中市梧棲區經三路51號(靖鎰案),台中市梧棲區,,356.4,111,太陽能系統發電
存量能源有限公司,台中壯佳果案,台中市大甲區,,999.9,112,太陽能系統發電
東小南山太陽能有限公司,東小南山太陽光電發電廠,台南市北門區,,926.64,111,太陽能系統發電
生利能源股份有限公司,屏東枋寮太陽光電發電廠一期-1,屏東縣枋寮鄉,,"4,001.31",111,太陽能系統發電
中鋼光能股份有限公司,中龍中心倉庫,台中市龍井區,,991.2,111,太陽能系統發電
中鋼光能股份有限公司,中龍扁鋼胚儲區,台中市龍井區,,997.92,111,太陽能系統發電
中鋼光能股份有限公司,中龍氧氣廠,台中市龍井區,,347.76,111,太陽能系統發電
中鋼光能股份有限公司,中龍除礦水電氣室,台中市龍井區,,393.12,111,太陽能系統發電
中鋼光能股份有限公司,中龍動力場,台中市龍井區,,204.12,111,太陽能系統發電
中鋼光能股份有限公司,中龍細石料RC屋頂,台中市龍井區,,498.96,111,太陽能系統發電
中鋼光能股份有限公司,中聯資中港廠,台中市龍井區,,345.475,111,太陽能系統發電
中鋼光能股份有限公司,中鴻鹿港廠,彰化縣鹿港鎮,,"4,333.38",111,太陽能系統發電
中鋼光能股份有限公司,中鋁廠區,高雄市小港區,,"3,137.40",111,太陽能系統發電
中鋼光能股份有限公司,中鋼88庫,高雄市小港區,,982.08,111,太陽能系統發電
中鋼光能股份有限公司,中聯資室內化儲區,高雄市小港區,,476.16,111,太陽能系統發電
中鋼光能股份有限公司,中聯資著磁料場,高雄市小港區,,148.8,111,太陽能系統發電
中鋼光能股份有限公司,中鴻酸鍍廠,高雄市小港區,,"1,096.20",111,太陽能系統發電
中鋼光能股份有限公司,中鋼廠區1,高雄市小港區,,"6,798.60",111,太陽能系統發電
中鋼光能股份有限公司,中鋼廠區2,高雄市小港區,,"4,689.84",111,太陽能系統發電
中鋼光能股份有限公司,中鋼廠區3,高雄市小港區,,"5,784.18",111,太陽能系統發電
中鋼光能股份有限公司,中鋼廠區4,高雄市小港區,,"6,857.16",111,太陽能系統發電
中鋼光能股份有限公司,中鋼廠區5,高雄市小港區,,"5,384.28",111,太陽能系統發電
中鋼光能股份有限公司,中龍室內備品儲區,台中市龍井區,,702.44,112,太陽能系統發電
中鋼光能股份有限公司,中龍耐火材料倉庫,台中市龍井區,,,112,太陽能系統發電
中鋼光能股份有限公司,中龍煉鐵大樓,台中市龍井區,,158.44,112,太陽能系統發電
中鋼光能股份有限公司,中龍熱軋主電氣室,台中市龍井區,,179.52,112,太陽能系統發電
中鋼光能股份有限公司,中龍第一原水池,台中市龍井區,,839.8,112,太陽能系統發電
中鋼光能股份有限公司,扁鋼胚連鑄維護廠房,台中市龍井區,,217.6,112,太陽能系統發電
中鋼光能股份有限公司,中龍窄版改切工場,台中市龍井區,,408,112,太陽能系統發電
中鋼光能股份有限公司,中龍集塵灰倉庫,台中市龍井區,,"1,338.24",112,太陽能系統發電
中鋼光能股份有限公司,中龍熱軋精整,台中市龍井區,,"1,285.88",112,太陽能系統發電
中鋼光能股份有限公司,永光儲區,高雄市小港區,,"2,396.52",112,太陽能系統發電
中鋼光能股份有限公司,中碳C1倉庫,屏東縣枋寮鄉,,153.72,112,太陽能系統發電
中鋼光能股份有限公司,中碳C2倉庫,屏東縣枋寮鄉,,133.92,112,太陽能系統發電
中鋼光能股份有限公司,中碳修護工廠,屏東縣枋寮鄉,,127.075,112,太陽能系統發電
中鋼光能股份有限公司,中碳試驗工廠,屏東縣枋寮鄉,,328.9,112,太陽能系統發電
旭信電力股份有限公司,旭信電力宜蘭廠,宜蘭縣五結鄉,,"1,474.20",111,太陽能系統發電
承隆能源科技股份有限公司,高雄大社區旗楠路80巷66號屋頂型太陽光電發電設備,高雄市大社區,,244.555,111,太陽能系統發電
新埔太陽能有限公司,新埔太陽光電發電廠,台南市七股區,,999.495,111,太陽能系統發電
環台光電股份有限公司,環台彰濱銀泰廠房屋頂太陽光電發電廠,彰化縣鹿港鎮,,"4,059.27",111,太陽能系統發電
茂泓能源股份有限公司,臺南市北門區第一期太陽光電發電廠,台南市北門區,,"21,167.90",111,太陽能系統發電
乾耀能源科技股份有限公司,乾耀台南官田區太陽光電發電廠,台南市官田區、六甲區,,"19,349.53",111,太陽能系統發電
